1 = ToolMillEndMill				- Концевая фреза
2 = ToolMillDrill				- Сверло
3 = ToolMillCenterDrill			- Центровка
4 = ToolMillTap					- Метчик
5 = ToolMillReamer				- Развертка
6 = ToolMillBoringBar			- Расточная оправка
7 = ToolMillBullNose 			- Тороидальная фреза
8 = ToolMillFaceMill 			- Торцевая фреза
9 = ToolMillBallMill 			- Сферическая фреза
10 = ToolMillTaperRadiusEndMill	- Конусная фреза
11 = ToolMillChamferMill		- Фасочная фреза
12 = ToolMillCornerRoundMill	- Радиусная фреза
13 = ToolMillDoveTail 			- Концевая фреза типа "Ласточкин хвост"
14 = ToolMillCustom 			- Пользовательская фреза
15 = ToolLatheCustom 			- Пользовательская пластина
16 = ToolLatheTurning 			- Токарная пластина
17 = ToolLatheGroove			- Канавочная пластина
18 = ToolLatheTopNotch 			- Резьбовая пластина для Крупной Резьбы
19 = ToolLatheLayDown 			- Резьбовая пластина для Мелкой Резьбы
20 = ToolMillThreadMill 		- Резьбофреза
22 = ToolLatheMiniTurning 		- Мини Токарная пластина
23 = ToolLatheMiniGrooving 		- Мини Канавочная пластина
24 = ToolLatheMiniBoring 		- Мини Расточная пластина
25 = ToolMillSlotMill			- Пазовая фреза
26 = ToolMillUndercutMill		- Шаровая фреза
